locale,NODE_KEY,DESCRIPTION
de,74867AD200E41EDBA5D8B06B26EB4052,"Notebook Basic 15 mit 2,80 GHz Quad-Core, 15 ""LCD, 4 GB DDR3-RAM, 500 GB Festplatte, Windows 8 Pro"
de,74867AD200E41EDBA5D8B06B26EB6052,"Notebook Basic 17 mit 2,80 GHz Quad-Core, 17 ""LCD, 4 GB DDR3-RAM, 500 GB Festplatte, Windows 8 Pro"
de,74867AD200E41EDBA5D8B06B26EB8052,"Notebook Basic 18 mit 2,80 GHz Quad-Core, 18 ""LCD, 8 GB DDR3-RAM, 1000 GB Festplatte, Windows 8 Pro"
de,74867AD200E41EDBA5D8B06B26EBA052,"Notebook Basic 19 mit 2,80 GHz Quad-Core, 19 ""LCD, 8 GB DDR3-RAM, 1000 GB Festplatte, Windows 8 Pro"
de,74867AD200E41EDBA5D8B06B26EBC052,Digital Organizer mit modernster Speicherverschlsselung
de,74867AD200E41EDBA5D8B06B26EBE052,"Notebook Professional 15 mit 2,80 GHz Quad-Core, 15 ""Multitouch-LCD, 8 GB DDR3-RAM, 500 GB SSD - DVD-Brenner (DVD-R / + R / -RW / -RAM), Windows 8 Pro"
de,74867AD200E41EDBA5D8B06B26EC0052,"Notebook Professional 17 mit 2,80 GHz Quad-Core, 17 ""Multitouch-LCD, 8 GB DDR3-RAM, 500 GB SSD - DVD-Brenner (DVD-R / + R / -RW / -RAM), Windows 8 Pro"
de,74867AD200E41EDBA5D8B06B26EC2052,Digital Organizer mit modernster Verschlsselung fr Speicher und Netzwerkkommunikation
de,74867AD200E41EDBA5D8B06B26EC4052,Digital Organizer mit modernster Verschlsselung fr Speicher und Secure Stellite Link
de,74867AD200E41EDBA5D8B06B26EC6052,32 GB Digital Assistant mit hochauflsendem Farbbildschirm
de,74867AD200E41EDBA5D8B06B26EC8052,64 GB Digital Assistant mit hochauflsendem Farbbildschirm und synthetisierter Sprachausgabe
